"subject_id","subject_code","subject_group"
1,"Subject 1","train"
2,"Subject 2","test"
3,"Subject 3","train"
4,"Subject 4","test"
5,"Subject 5","train"
6,"Subject 6","train"
7,"Subject 7","train"
8,"Subject 8","train"
9,"Subject 9","test"
10,"Subject 10","test"
11,"Subject 11","train"
12,"Subject 12","test"
13,"Subject 13","test"
14,"Subject 14","train"
15,"Subject 15","train"
16,"Subject 16","train"
17,"Subject 17","train"
18,"Subject 18","test"
19,"Subject 19","train"
20,"Subject 20","test"
21,"Subject 21","train"
22,"Subject 22","train"
23,"Subject 23","train"
24,"Subject 24","test"
25,"Subject 25","train"
26,"Subject 26","train"
27,"Subject 27","train"
28,"Subject 28","train"
29,"Subject 29","train"
30,"Subject 30","train"
